,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a small, green desk  facing forwards",-28.458391189575195,topk,,"a small, green desk to the right",-7.004265308380127,topk,,"a large, green desk  ",-30.784229278564453,topk,,"a large desk, grey in colour, facing to the left",-33.340545654296875,topk,,"a small, green chair faces to the right",-31.687732696533203,topk,,a large,-33.49216842651367,topk,,"a large, grey chair face",-31.570945739746094,topk,
1,"a small, green, desk facing forwards",-30.757057189941406,topk,,"a small, green desk (2)",-10.007192611694336,topk,,"a large, green desk  facing forwards",-29.180797576904297,topk,,a Grey desk,-32.239013671875,topk,,"a small, green chair facing to the right",-22.21999168395996,topk,,a large green chair facing to the right,-32.45350646972656,topk,,"a large, grey chair  ",-32.274070739746094,topk,
2,"a small, green desk in front",-31.26473045349121,topk,,"a small, green desk  facing to the right",-7.96972131729126,topk,,a large green desk ,-30.16192626953125,topk,,a grey chair facing to the left,-33.73942947387695,topk,,"a  small, green chair facing to the right",-31.405635833740234,topk,,"a small, green chair facing to the right",-34.1592903137207,topk,,a grey chair,-27.66330337524414,topk,
3,a small green desk in the room,-30.68457794189453,topk,,"a small, green desk, facing to the right",-8.071822166442871,topk,,a green large desk facing forwards,-31.592226028442383,topk,,a large desk,-32.45572662353516,topk,,"a small, green chair that is facing to the right",-31.44808387756348,topk,,a green chair is facing forwards,-32.696868896484375,topk,,"a large, grey chair facing the left",-31.94316673278809,topk,
4,a small green desk  facing forwards,-30.524511337280277,topk,,a green desk facing right,-9.066274642944336,topk,,"a large, green desk facing to the right",-32.57810974121094,topk,,"a large, grey table",-31.92906951904297,topk,,"a small, green chair ",-27.91910552978516,topk,,a chair facing forwards,-30.89220428466797,topk,,a large grey chair ,-32.76106262207031,topk,
5,a small desk,-28.31230354309082,topk,,"a small, green table",-9.140302658081056,topk,,"a green, large desk facing forwards",-30.55291748046875,topk,,a grey chair,-32.95890045166016,topk,,a small green chair,-31.65283203125,topk,,"a large, green chair 6",-33.102108001708984,topk,,a large grey chair facing the left,-31.196596145629883,topk,
6,"a small, green desk facing to the right",-30.66454315185547,topk,,"a small, green desk is facing to the right",-9.848675727844238,topk,,a green chair facing forwards,-31.264543533325195,topk,,"a grey, large desk facing left",-32.81578826904297,topk,,"a small, green desk facing to the right",-28.00692749023437,topk,,"a large, green desk chair facing forwards",-31.555774688720703,topk,,a large green chair facing forwards,-33.133487701416016,topk,
7,"a small, green desk, facing forwards",-30.65359115600586,topk,,a small desk,-9.986363410949709,topk,,"a large, green desk facing forwards",-22.956981658935547,topk,,a large desk facing to the left of the room,-32.907344818115234,topk,,a small green chair ,-31.59814453125,topk,,"a large, green chair is facing forwards",-31.51034927368164,topk,,"a large, grey chair",-26.383447647094727,topk,
8,a green desk in the room,-30.842777252197266,topk,,"a  small, green desk facing to the right",-10.084959030151367,topk,,"a small, green desk",-30.832210540771484,topk,,a large desk that is grey in color and facing to the left,-33.56338882446289,topk,,a small green chair to the right,-31.189985275268555,topk,,a large chair facing forwards,-30.49567413330078,topk,,"a large, grey chair, facing to the left",-31.02054786682129,topk,
9,a small green desk ,-29.439624786376957,topk,,a small green desk ,-10.227161407470703,topk,,a large green desk facing to the front,-32.3175048828125,topk,,a grey desk,-26.34081077575684,topk,,"a large, grey chair facing to the left",-31.395591735839844,topk,,a large green chair  facing forwards,-33.23239517211914,topk,,"a large, grey chair that is facing to the left",-32.981895446777344,topk,
10,"a small, green, desk, facing forwards",-30.747705459594727,topk,,"a small, green desk facing the right",-8.970863342285156,topk,,a large green desk facing forwards,-28.648948669433597,topk,,"a small, green desk facing to the right",-32.129295349121094,topk,,"a small, green desk",-30.780038833618164,topk,,"a  large, green chair facing forwards",-32.1609001159668,topk,,"a large, grey chair on the left",-32.98615646362305,topk,
11,a desk,-30.16376495361328,topk,,a green desk facing the right,-9.709351539611816,topk,,"a large, green desk-facing forwards",-31.524829864501957,topk,,"a large desk facing to the left, grey in color",-34.08734893798828,topk,,"a small, green chair facing right",-29.668598175048828,topk,,"a large, green chair in the room",-33.79901885986328,topk,,a chair,-28.530670166015625,topk,
12,"a small, green desk",-28.81482315063477,topk,,"a large, green desk facing to the right",-8.080897331237793,topk,,"a large, green desk",-25.065479278564453,topk,,"a large, grey chair",-32.96839141845703,topk,,"a small, green chair to the right",-29.748401641845703,topk,,a large green chair facing forwards,-31.88939476013184,topk,,a large grey chair facing to the left,-31.814329147338867,topk,
