,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a grey desk facing forwards,-27.205461502075195,topk,,a large blue desk is facing forwards,-32.78336334228516,topk,,a large desk that is red in color and facing backwards,-32.442596435546875,topk,,a green desk facing to the left,-30.56205177307129,topk,,a large blue fan facing forwards ,-30.49226188659668,topk,,a red fan facing backwards,-30.47337913513184,topk,,"a small, green fan",-28.2175407409668,topk,
1,a large,-30.892784118652344,topk,,a large,-32.63103485107422,topk,,a large red desk facing backward,-30.52548599243164,topk,,"a small, green table",-29.59248733520508,topk,,a blue fan,-27.51479721069336,topk,,"a large, red fan that is facing backwards",-30.810640335083008,topk,,a small green fan,-26.43009757995605,topk,
2,a grey desk facing forward,-31.297229766845703,topk,,a large desk facing forwards is blue,-32.84636688232422,topk,,a large desk,-29.256744384765625,topk,,"a small, green desk to the left",-29.279653549194336,topk,,a large blue fan is facing forwards,-30.81354713439941,topk,,a large red fan facing backwards,-29.08760452270508,topk,,"a green, small fan facing left",-30.51080322265625,topk,
3,a grey desk facing forwards ,-29.939836502075195,topk,,"a large desk facing forwards, painted blue",-33.28289794921875,topk,,a desk facing backwards,-29.00157928466797,topk,,a small green desk facing to the left,-24.760560989379883,topk,,a large fan that is blue in colour and facing forwards,-33.354305267333984,topk,,"a large, red fan facing forwards",-29.74527359008789,topk,,"a small, green fan is facing to the left",-30.04440116882324,topk,
4,a grey desk in a room,-30.500003814697266,topk,,a large desk,-30.165061950683597,topk,,"a large, red desk is facing backwards",-29.28392601013184,topk,,"a small, green desk, facing to the left",-29.00983238220215,topk,,"a large,",-31.70428276062012,topk,,a red fan facing backward,-31.01879119873047,topk,,a small green fan facing the left,-27.929967880249023,topk,
5,"a large, grey table",-31.51950454711914,topk,,a large desk with a blue top,-32.393577575683594,topk,,"a large, red desk  facing backwards",-30.610530853271484,topk,,a small green desk ,-28.809711456298828,topk,,"a large, blue desk facing forwards",-29.05615997314453,topk,,a red desk facing backwards,-30.928607940673828,topk,,a small fan,-30.33379554748535,topk,
6,a grey desk facing forwards in a room,-32.529048919677734,topk,,a blue table,-31.838960647583008,topk,,a red table,-29.510114669799805,topk,,a small green table,-29.576984405517575,topk,,"a large blue fan, facing forwards",-30.5313663482666,topk,,"a large, red fan facing the opposite direction of the other objects",-34.22615432739258,topk,,a green fan on the left,-29.989086151123047,topk,
7,a grey large desk facing forwards,-30.308292388916016,topk,,a blue desk,-27.55714988708496,topk,,"a large, red desk  ",-30.42940139770508,topk,,"a large, blue desk facing forwards",-28.675512313842773,topk,,"a large fan, facing forwards",-31.565696716308597,topk,,"a large, red fan is facing backwards",-30.32138442993164,topk,,"a large, red desk facing backwards",-30.338830947875977,topk,
8,a grey desk in the room,-30.011831283569336,topk,,a large blue desk  facing forwards,-33.25762176513672,topk,,"a large, red desk that is facing backwards",-30.468019485473636,topk,,a small green desk is facing to the left,-30.311561584472656,topk,,a blue desk facing forwards,-31.21980094909668,topk,,a large red fan,-30.69277572631836,topk,,"a small, green fan  facing to the left",-29.326494216918945,topk,
9,a grey desk,-25.67490577697754,topk,,a large desk that is blue in colour,-33.52290725708008,topk,,"a red, large desk facing backwards",-31.17908477783203,topk,,"a small, green desk facing left",-28.286222457885746,topk,,a large blue desk facing forwards,-30.824033737182617,topk,,a large red fan ,-30.633020401000977,topk,,a small green desk facing to the left,-30.612607955932617,topk,
