,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair ",-6.964771270751953,topk,,"a large, grey chair ",-29.022933959960938,topk,,"a large, red chair  facing backwards",-31.50288963317871,topk,,"a small, grey chair that is facing backwards",-8.514724731445312,topk,,"a large, grey desk face forwards",-31.31352806091309,topk,,"a large, red desk with its back facing the viewer",-12.026349067687988,topk,,"a large, grey desk facing backwards",-32.63447570800781,topk,
1,a grey chair ,-8.7521390914917,topk,,a large gray chair facing forwards,-32.96430969238281,topk,,"a large, grey chair facing backwards",-31.472658157348636,topk,,"a large, grey chair facing backwards",-8.225018501281738,topk,,"a large, grey desk-facing forwards",-32.03807067871094,topk,,"a large, red desk""",-9.927112579345703,topk,,"a small, grey desk faced backwards",-31.83640480041504,topk,
2,"a large, grey chair facing backwards",-7.008084297180176,topk,,a large grey chair that is facing forwards,-32.65555191040039,topk,,a large chair facing backwards,-31.413896560668945,topk,,a small grey chair,-8.499876976013184,topk,,"a  large, grey desk  facing forwards",-32.197601318359375,topk,,"a large, red desk facing the opposite direction of the other objects",-13.809388160705566,topk,,"a small, grey desk facing ",-32.120155334472656,topk,
3,a grey chair that is facing backwards,-9.878240585327148,topk,,"a large, grey chair facing backwards",-31.1877555847168,topk,,"a large, red chair facing backwards",-22.928422927856445,topk,,"a small, grey chair  (4)",-10.614834785461426,topk,,a grey desk facing forward,-31.234941482543945,topk,,a desk facing backwards,-8.591733932495117,topk,,"a large, grey chair facing backwards",-30.898836135864254,topk,
4,"a large, grey chair, facing backwards",-7.458993434906006,topk,,a large grey chair facing the front,-32.65201568603516,topk,,"a large, red chair (3)",-31.7907772064209,topk,,"a grey, small chair facing backwards",-9.52704906463623,topk,,a chair facing forwards,-31.84574508666992,topk,,"a large, red desk, facing backwards",-7.320404052734375,topk,,a small grey chair,-31.94784927368164,topk,
5,a backwards grey chair,-7.383198738098144,topk,,"a large grey chair, facing forwards",-31.829242706298828,topk,,a chair facing backwards,-31.72233772277832,topk,,"a small, grey chair in the room",-10.153653144836426,topk,,"a large, grey desk;",-32.03794860839844,topk,,a red desk facing backwards,-5.446325302124023,topk,,"a small, grey desk is facing backwards",-30.839460372924805,topk,
6,a large grey chair backwards,-8.94308853149414,topk,,"a large, grey chair that is facing forwards",-35.51716995239258,topk,,a large red chair facing backwards,-26.91855239868164,topk,,"a small, grey chair  facing backwards",-9.506706237792969,topk,,a large desk,-29.442184448242188,topk,,a large chair facing backwards,-10.240164756774902,topk,,a ,-32.05509567260742,topk,
7,a grey chair,-9.5099515914917,topk,,a forward-facing grey chair,-31.579164505004883,topk,,a large chair,-30.576210021972656,topk,,a grey desk facing backwards,-9.094156265258787,topk,,"a large, grey desk faced forwards",-32.547908782958984,topk,,"a large red desk, facing backwards",-10.702457427978516,topk,,"a small, grey desk ",-28.607154846191406,topk,
8,a large grey chair,-8.677618980407715,topk,,a grey chair,-31.21598625183105,topk,,a large red chair,-27.93684196472168,topk,,a grey chair,-6.397904396057129,topk,,"a large, grey desk  |   facing forwards",-32.87434005737305,topk,,"a large, red table facing backwards",-10.1056489944458,topk,,"a small, grey desk  facing backwards",-30.08672142028809,topk,
9,"a large, grey chair that is facing backwards",-9.19195556640625,topk,,a large chair facing forwards,-29.16298484802246,topk,,"a large, red chair that is facing backwards",-31.52553939819336,topk,,a small grey chair ,-8.124876976013184,topk,,"a large desk, facing forwards",-31.488075256347656,topk,,"a large, red chair facing backwards",-7.491929054260254,topk,,a grey desk facing backwards,-29.69685935974121,topk,
