,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a red sofa, facing to the right",-30.70465660095215,topk,,"a small, red sofa (2)",-30.89997100830078,topk,,"a small, blue sofa facing to the right""",-28.77463150024414,topk,,"a small, green sofa ",-30.452301025390625,topk,,"a small, green desk",-30.429183959960938,topk,,"a large, red sofa",-10.90127182006836,topk,,"a small, green desk",-4.875922679901123,topk,
1,"a large, red, sofa, facing, right",-32.6942024230957,topk,,"a small, red sofa ",-26.836374282836918,topk,,"a small, blue sofa faces to the right",-31.471702575683597,topk,,a small green sofa facing backwards,-28.57209205627441,topk,,a small red desk facing the right,-30.43585586547852,topk,,a small blue desk ,-10.31484317779541,topk,,"a small, green desk facing to the left",-9.655166625976562,topk,
2,a large  red sofa,-31.001039505004883,topk,,"a small, red",-31.709178924560547,topk,,"a small, blue sofa facing to the right,",-33.446556091308594,topk,,"a small, green sofa facing backwards",-30.214059829711918,topk,,"a small, red desk",-24.830718994140625,topk,,"a small, blue desk (6)",-11.093295097351074,topk,,"a small, green deck facing backwards",-10.895615577697754,topk,
3,a red sofa in the room,-32.35890579223633,topk,,"a small, red sofa facing backwards",-31.227357864379883,topk,,"a small, blue sofa facing to the right'",-30.95431900024414,topk,,a green sofa facing backward,-30.936187744140625,topk,,"a small, red desk  (5)",-31.72176742553711,topk,,"a small, blue desk to the right",-10.588094711303713,topk,,"a small, green sofa facing backwards",-10.986234664916992,topk,
4,"a large, red, sofa, facing, to the right",-34.04633712768555,topk,,"a small, red sofa",-24.242624282836918,topk,,"a  small, blue sofa",-31.86267852783203,topk,,"a small, green sofa with its back to us",-32.43050765991211,topk,,"a small, red desk ",-27.494781494140625,topk,,"a small, blue desk facing to  the right",-11.276753425598145,topk,,a desk facing backwards,-9.438076972961426,topk,
5,"a large, red facing to the right",-32.62408447265625,topk,,"a small, red sofa facing the right",-29.022994995117188,topk,,"a small, blue sofa facing backwards",-31.75821685791016,topk,,"a small, green sofa facing the opposite direction of the others",-32.833091735839844,topk,,"a large, red sofa facing to the right",-31.10428047180176,topk,,"a  small, blue desk facing to the right",-10.226176261901855,topk,,"a small, green desk face backwards",-10.157565116882324,topk,
6,a red sofa facing the right,-29.34938621520996,topk,,a small red sofa,-24.82937240600586,topk,,"a small, blue sofa faced to the right",-32.051795959472656,topk,,"a small, green sofa faces backwards",-30.733448028564453,topk,,"a small, red desk face to the right",-30.953292846679688,topk,,"a small, blue desk that faces to the right",-10.97832202911377,topk,,"a small, green desk facing to the right",-10.43761920928955,topk,
7,a large sofa facing right,-30.159473419189453,topk,,"a  small, red sofa facing to the right",-32.14841842651367,topk,,"a small, blue sofa",-25.143613815307617,topk,,a green desk facing backwards,-29.60669708251953,topk,,"a small red desk, facing to the right",-31.516801834106445,topk,,a blue desk facing the right,-10.855982780456545,topk,,"a small, green desk facing",-10.646787643432615,topk,
8,"a large, red",-31.84424591064453,topk,,"a small, red sofa is facing to the right",-31.848949432373047,topk,,a blue sofa facing the right,-31.85982131958008,topk,,"a small, green sofa with its back facing the viewer",-32.253265380859375,topk,,a small red desk is facing to the right,-31.565683364868164,topk,,"a small, blue desk facing to the left",-9.978580474853516,topk,,"a large, red sofa facing to the right",-11.051054000854492,topk,
9,"a red, large sofa facing right",-31.848299026489254,topk,,"a small, red sofa, facing to the right",-28.39339828491211,topk,,"a small, blue sofa facing right",-29.35196685791016,topk,,a green sofa is facing backwards,-31.01556396484375,topk,,a desk facing to the right,-31.419055938720703,topk,,"a small, blue desk facing right",-8.52477741241455,topk,,"a small, green desk facing forwards",-8.021787643432617,topk,
