,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large, grey chair ",-28.646095275878903,topk,,"a large, grey chair ",-7.028035640716553,topk,,"a large, red chair, facing backwards, in the room, with other objects",-19.883663177490234,topk,,"a small, grey chair that is facing backwards",-30.00337219238281,topk,,"a large, grey desk face forwards",-31.34575653076172,topk,,a large desk,-30.87952995300293,topk,,"a small, grey desk faced backwards",-10.603178977966309,topk,
1,a grey chair ,-30.416847229003903,topk,,a large gray chair facing forwards,-10.904528617858888,topk,,"a large, red chair, facing backwards, in the room, distinguishable from other objects, using the fewest possible words",-21.971946716308597,topk,,"a large, grey chair facing backwards",-28.675765991210938,topk,,"a large, grey desk facing forwards""",-28.19769287109375,topk,,a desk facing backwards,-30.5770263671875,topk,,"a large, grey chair facing backwards",-9.155445098876951,topk,
2,"a large, grey chair facing backwards",-28.66152572631836,topk,,a large grey chair that is facing forwards,-10.998054504394531,topk,,a red chair ,-7.825803756713867,topk,,a small grey chair,-24.32076835632324,topk,,"a large, grey desk facing forwards'",-30.62738037109375,topk,,"a large, red desk, facing backwards",-29.272275924682617,topk,,a desk facing backwards,-9.535408020019531,topk,
3,"a grey chair facing backwards, large",-31.604978561401367,topk,,"a large, grey chair facing backwards",-9.169440269470217,topk,,a red chair facing backward,-8.292838096618652,topk,,"a small, grey chair  (4)",-32.09621047973633,topk,,a grey desk facing forward,-31.24020004272461,topk,,a red desk facing backwards,-28.36378288269043,topk,,a small grey chair,-10.151141166687012,topk,
4,"a grey chair facing backwards, large in size",-31.01578140258789,topk,,a large grey chair facing the front,-10.589946746826172,topk,,"a large, grey chair facing backwards",-10.016435623168944,topk,,"a grey, small chair facing backwards",-31.00223731994629,topk,,"a large, grey desk facing forwards is in the room",-31.64427947998047,topk,,"a large, red chair facing backwards",-29.500112533569336,topk,,"a small, grey desk is facing backwards",-8.98897933959961,topk,
5,a large chair facing backwards,-28.382699966430664,topk,,"a large grey chair, facing forwards",-10.161503791809082,topk,,"a large, red chair  (3)",-10.540789604187012,topk,,a ,-31.8280086517334,topk,,a large desk,-29.412582397460938,topk,,"a large, red desk that is facing backwards",-31.66046905517578,topk,,"a small, grey desk ",-6.84211015701294,topk,
6,a backwards grey chair,-29.056642532348636,topk,,"a large, grey chair that is facing forwards",-13.508760452270508,topk,,a red chair facing backwards ,-9.179058074951172,topk,,"a small, grey chair  facing backwards",-30.998756408691406,topk,,"a large, grey desk, facing forwards",-29.970613479614254,topk,,a chair facing backwards,-31.757266998291016,topk,,"a small, grey desk  facing backwards",-9.10904312133789,topk,
7,"a large, grey chair, facing backwards",-29.52753257751465,topk,,a forward-facing grey chair,-10.25806713104248,topk,,a large chair facing backwards,-9.829313278198242,topk,,a grey desk facing backwards,-30.55937385559082,topk,,"a large, grey desk",-25.261098861694336,topk,,"a large, red desk  facing backwards",-31.27187728881836,topk,,"a large, red chair facing backwards",-9.901178359985352,topk,
8,a large grey chair backwards,-30.66464233398437,topk,,a backwards grey chair,-10.297853469848633,topk,,"a large, red chair (3)",-10.237451553344728,topk,,a small chair facing backwards,-29.31170082092285,topk,,a desk facing forwards,-28.61453628540039,topk,,"a large, red desk facing backward",-29.43082427978516,topk,,"a small, grey chair",-8.767929077148438,topk,
9,a grey chair that is facing backwards,-31.51520347595215,topk,,a grey chair,-9.114168167114258,topk,,"a large, red chair facing backwards",-11.376508712768556,topk,,"a large, red chair facing backwards",-29.288673400878903,topk,,"a  large, grey desk facing forwards",-30.20846939086914,topk,,"a large, red desk facing backwards in the room",-29.80123710632324,topk,,a chair facing backwards,-9.402899742126465,topk,
10,a large grey chair,-30.35721206665039,topk,,a large chair facing forwards,-7.130586624145508,topk,,a large red chair facing backwards,-7.527161598205566,topk,,"a small, grey chair",-25.358396530151367,topk,,"a large, grey desk  ",-30.979848861694336,topk,,"a large, red desk facing backwards""",-27.991622924804688,topk,,"a small, grey desk, facing backwards",-10.78855800628662,topk,
11,"a large, grey chair that is facing backwards",-30.845849990844727,topk,,a large grey chair,-10.58230209350586,topk,,a large chair,-8.993171691894531,topk,,"a small, grey, backwards-facing chair",-31.8502140045166,topk,,a large grey desk ,-30.95362091064453,topk,,a red chair,-31.49355697631836,topk,,a small desk facing backwards,-8.975950241088867,topk,
12,a chair facing backwards,-29.06748580932617,topk,,"a  large, grey chair facing forwards",-8.899362564086914,topk,,a large red chair,-9.378711700439451,topk,,"a small, grey chair facing backward",-29.25377655029297,topk,,a large grey desk  facing forwards,-31.27010536193848,topk,,"a large, red desk",-26.159912109375,topk,,a small grey chair facing backwards,-7.593217372894287,topk,
13,a large grey chair ,-29.71658706665039,topk,,"a large, grey desk",-10.583304405212402,topk,,a red chair facing backwards in the room,-9.924860000610352,topk,,a chair facing backwards,-30.0454044342041,topk,,"a large, grey desk  facing forwards",-29.06427955627441,topk,,"a small, grey desk facing backwards",-29.84859085083008,topk,,"a small, grey desk facing backwards",-1.417450189590454,topk,
14,a grey chair facing away,-30.368303298950195,topk,,"a large, grey chair face forwards",-10.807364463806152,topk,,"a large, red chair, facing backwards, in the room",-16.396867752075195,topk,,a small chair,-30.343536376953125,topk,,"a large, grey desk ",-27.917348861694336,topk,,a small grey desk facing backwards,-31.024375915527344,topk,,a small grey desk facing backwards,-8.303328514099121,topk,
15,a large chair,-30.699853897094727,topk,,a chair is facing forwards,-10.49381160736084,topk,,"a large, red chair that is facing backwards",-9.943492889404297,topk,,a backwards-facing small grey chair,-31.418590545654297,topk,,"a small, grey desk facing backwards",-29.597618103027344,topk,,"a large, red desk facing backwards'",-29.929122924804688,topk,,"a small, grey desk facing downwards",-10.151824951171877,topk,
16,a large grey chair 1,-31.012331008911133,topk,,a large chair,-10.06285285949707,topk,,a large red chair facing backward,-8.058295249938965,topk,,a small grey facing backwards chair,-31.98592758178711,topk,,a small grey desk facing backwards,-30.797361373901367,topk,,"a large, red desk ",-29.230224609375,topk,,a grey desk,-7.451053142547607,topk,
17,"a large, grey chair  facing backwards",-30.336971282958984,topk,,"a chair, large, grey, facing forwards",-11.722357749938965,topk,,a red chair,-7.562448501586914,topk,,"a small, grey chair facing ",-32.01940155029297,topk,,"a large, grey desk facing forwards in a room",-31.982688903808597,topk,,"a large, red desk face backwards",-31.42068099975586,topk,,"a small, grey desk that is facing backwards",-14.116389274597168,topk,
18,a large grey facing backwards chair,-31.13036155700684,topk,,a small grey chair facing backwards,-10.544322967529297,topk,,"a large red chair, facing backwards",-9.723167419433594,topk,,"a small, gray chair facing backwards",-31.066593170166016,topk,,a large grey desk,-31.20362091064453,topk,,a backwards-facing red desk,-31.700485229492188,topk,,a small grey desk ,-8.964960098266602,topk,
19,a grey chair is facing backwards,-30.467823028564453,topk,,"a large, grey chair, facing forwards",-7.71682071685791,topk,,"a large, red chair, facing backwards, in the room, distinguishable from the other objects",-21.18592834472656,topk,,"a small, grey chair  ",-31.077146530151367,topk,,a large desk facing forwards,-28.04788017272949,topk,,"a small, grey chair facing backwards",-31.08421516418457,topk,,"a small, grey desk facing forwards",-10.481792449951172,topk,
20,a grey chair facing backward,-30.27099609375,topk,,"a large, grey chair  ",-10.371785163879396,topk,,"a large, red chair facing forwards",-9.721795082092283,topk,,a large grey chair facing backwards,-31.594112396240234,topk,,"a large, grey desk facing forwards;",-31.47113037109375,topk,,a desk,-31.121768951416016,topk,,"a small, grey desk facing backward",-7.823699951171875,topk,
21,a large grey chair facing backward,-29.1991024017334,topk,,a large grey chair facing backwards,-10.497190475463867,topk,,"a large, red desk",-9.667058944702148,topk,,a small-grey-chair-facing-backwards,-32.050472259521484,topk,,"a large, grey chair facing forwards",-31.02004623413086,topk,,"a large, red desk is facing backwards",-31.38612174987793,topk,,"a small, grey desk  ",-9.693673133850098,topk,
