,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,a large,-9.43887710571289,topk,,a large,-31.690235137939453,topk,,"a large, red chair",-22.74656105041504,topk,,a small grey chair facing backwards ,-7.359507083892822,topk,,a grey desk facing forwards,-28.31791114807129,topk,,a grey desk facing forwards,-31.875036239624023,topk,,"a small, grey desk facing forwards",-29.979528427124023,topk,
1,"a grey, large chair, facing backwards",-9.888391494750977,topk,,"a large, grey chair  ",-32.31199645996094,topk,,a large,-30.68383026123047,topk,,"a small, gray chair facing backwards",-10.36684226989746,topk,,"a small, grey desk facing forwards",-31.91983985900879,topk,,a large,-31.6547908782959,topk,,"a small, grey desk ",-28.607154846191406,topk,
2,"a large, grey chair facing the opposite direction of the other chairs",-14.184855461120604,topk,,a large grey chair facing backwards,-32.49968338012695,topk,,"a small, grey desk facing backwards",-31.018064498901367,topk,,"a small, grey desk facing backwards",-6.462412357330322,topk,,"a large grey desk, facing forwards",-31.500879287719727,topk,,a large red desk facing backward,-32.018646240234375,topk,,a small grey desk facing forwards,-31.449756622314453,topk,
3,a grey chair,-9.5099515914917,topk,,a grey chair,-31.21598625183105,topk,,a chair facing backwards,-31.72233772277832,topk,,"a large, grey chair facing forwards",-9.686226844787598,topk,,a large grey desk facing forwards in a room,-33.02130126953125,topk,,"a large, red table facing backwards",-32.054866790771484,topk,,"a small, grey desk, facing backwards",-30.181325912475582,topk,
4,a backwards-facing large grey chair,-9.276009559631348,topk,,"a large, grey chair faces forwards",-32.47642517089844,topk,,"a large, grey chair facing forwards",-32.31855392456055,topk,,"a small, grey chair facing backwards ",-9.547552108764648,topk,,a large desk,-29.442184448242188,topk,,"a large, red desk facing",-32.17045593261719,topk,,"a small, grey desk facing backwards",-24.177978515625,topk,
5,"a grey chair, facing backwards",-7.384091377258301,topk,,a large chair facing forwards,-30.00082397460937,topk,,"a large, red desk",-31.254173278808597,topk,,a small grey chair facing backwards in the room,-8.765867233276367,topk,,a chair facing forwards,-31.84574508666992,topk,,a large desk,-30.823883056640625,topk,,"a small grey desk, facing backwards",-31.34349250793457,topk,
6,a large grey chair ,-7.997931480407715,topk,,a grey chair facing forward,-32.09251022338867,topk,,a red chair is facing backwards,-31.973705291748047,topk,,"a large, grey chair",-9.800053596496582,topk,,a grey desk facing forwards ,-31.85697364807129,topk,,"a small, grey desk facing backwards",-29.768611907958984,topk,,"a large, red desk facing backwards",-30.80816078186035,topk,
7,a grey chair ,-8.7521390914917,topk,,"a large, grey chair facing forwards",-22.9690055847168,topk,,a red chair facing backward,-29.885475158691406,topk,,"a small, grey, backwards-facing chair",-9.90243434906006,topk,,"a small, grey desk facing backwards",-29.52921485900879,topk,,a desk facing backwards,-30.54095268249512,topk,,a small desk facing backwards,-30.010257720947266,topk,
8,"a large, grey chair facing forwards",-8.83538818359375,topk,,a grey chair facing forwards ,-32.26930236816406,topk,,a red chair ,-29.372732162475582,topk,,a small grey chair facing backwards in a room,-10.598589897155762,topk,,"a large grey desk facing forwards""",-31.58265686035156,topk,,"a large, red desk is facing backwards",-30.980762481689453,topk,,"a small, grey desk facing backwards  ",-31.185791015625,topk,
9,a large grey chair is facing backwards,-9.24011516571045,topk,,"a large grey chair, facing forwards",-31.829242706298828,topk,,"a large,",-30.69542694091797,topk,,"a small grey chair, facing backwards",-8.531983375549316,topk,,"a large, grey desk face forwards",-31.94557762145996,topk,,"a large, red desk  facing backwards",-31.71903610229492,topk,,"a small, grey table facing backwards",-31.268096923828125,topk,
10,a chair facing backwards,-9.407167434692385,topk,,"a large, grey chair is facing forwards",-30.939598083496094,topk,,a large chair that is red in colour and facing backwards,-34.9140510559082,topk,,"a small, grey chair  ",-9.563922882080078,topk,,"a large, grey desk faced forwards",-31.996734619140625,topk,,a chair facing backwards,-31.73807716369629,topk,,"a small, grey desk facing backwards in a room",-31.73319435119629,topk,
