,S1,p_llm_1,seq_type1,p_rsa_1,S2,p_llm_2,seq_type2,p_rsa_2,S3,p_llm_3,seq_type3,p_rsa_3,S4,p_llm_4,seq_type4,p_rsa_4,S5,p_llm_5,seq_type5,p_rsa_5,S6,p_llm_6,seq_type6,p_rsa_6,S7,p_llm_7,seq_type7,p_rsa_7
0,"a large red sofa, facing to the right",-31.12185287475586,topk,,"a small, red sofa  (2)",-30.150978088378903,topk,,"a small, blue  sofa",-33.90617752075195,topk,,"a small, green desk",-27.280006408691406,topk,,a small red desk facing the right,-30.47428321838379,topk,,a small blue desk ,-10.336946487426758,topk,,"a small, green desk",-4.9320502281188965,topk,
1,a large red sofa facing to the right,-25.56583404541016,topk,,"a small, red sofa (2)",-30.938196182250977,topk,,a  blue sofa,-32.945594787597656,topk,,a small green sofa facing the opposite direction of the other sofas,-32.752952575683594,topk,,"a small, red desk",-24.942951202392575,topk,,"a small, blue desk (6)",-11.144180297851562,topk,,"a small, green desk facing to the left",-9.686721801757812,topk,
2,a large  red sofa,-30.99054718017578,topk,,"a small, red sofa ",-26.84938240051269,topk,,a blue small sofa,-31.80942916870117,topk,,"a small, green sofa ",-30.41527366638184,topk,,"a small, red desk  (5)",-31.861236572265625,topk,,"a small, blue desk facing to  the right",-11.254594802856444,topk,,"a small, green deck facing backwards",-10.91968059539795,topk,
3,a large sofa facing right,-30.17804336547852,topk,,a small red sofa facing the right,-29.832569122314453,topk,,"a small, green sofa facing backwards",-32.899253845214844,topk,,a small green sofa facing backwards,-28.5477352142334,topk,,"a small, red desk ",-27.583576202392575,topk,,"a small, blue  desk facing to the right",-10.65483570098877,topk,,"a small, green sofa facing backwards",-9.89105987548828,topk,
4,"a large, red sofa facing to the right",-23.392480850219727,topk,,a small sofa,-29.99299430847168,topk,,a small green sofa facing backwards,-33.316131591796875,topk,,"a small, green sofa facing backwards",-30.22174072265625,topk,,"a large, red sofa facing to the right",-31.2595157623291,topk,,"a  small, blue desk facing to the right",-10.286056518554688,topk,,a desk facing backwards,-9.463112831115724,topk,
5,"a large, red sofa is in the room",-31.179723739624023,topk,,a small red sofa is facing to the right,-31.02147674560547,topk,,a small sofa,-33.35652542114258,topk,,a green sofa facing backward,-30.96062469482422,topk,,"a small red desk, facing to the right",-31.620201110839844,topk,,"a small, blue desk that faces to the right",-11.022016525268556,topk,,"a small, green desk face backwards",-10.17861270904541,topk,
6,"a large, red sofa  facing to the right",-30.4593563079834,topk,,"a small, red sofa facing backwards",-31.18680763244629,topk,,a small sofa that is blue in color and facing to the right,-34.26581954956055,topk,,"a large, red sofa facing to the right",-31.375417709350582,topk,,"a small, red desk is in the room",-31.77760505676269,topk,,a blue desk facing the right,-10.898112297058104,topk,,"a small, green desk facing to the right",-10.449289321899414,topk,
7,"a large, red sofa, facing to the right",-29.32146644592285,topk,,a small red sofa facing right,-28.22931480407715,topk,,a ,-33.5654411315918,topk,,"a small, green sofa with its back to us",-32.43635559082031,topk,,a small red desk is facing to the right,-31.932695388793945,topk,,"a small, blue desk facing to the left",-9.94685173034668,topk,,"a small, green desk facing",-10.734088897705078,topk,
8,a large red sofa to the right,-30.125999450683597,topk,,"a small, red sofa",-25.03688240051269,topk,,"a small sofa, blue in color, facing to the right",-34.77622604370117,topk,,"a small, green sofa faces backwards",-30.745288848876957,topk,,a small  red desk facing to the right,-31.815860748291016,topk,,"a small, blue desk facing right",-9.442520141601562,topk,,"a large, red sofa facing to the right",-9.945571899414062,topk,
9,"a large, red sofa facing the right",-28.67840576171875,topk,,"a small, red sofa  facing to the right",-29.02715110778809,topk,,"a small, blue couch facing to the right",-33.1657829284668,topk,,a green desk facing backwards,-30.639942169189453,topk,,"a small, red desk facing the right",-30.82266616821289,topk,,"a small, blue desk  facing to the right",-8.262519836425781,topk,,"a small, green desk facing the opposite direction of the others",-12.550207138061523,topk,
10,"a large, red sofa 1",-31.272640228271484,topk,,"a small, red sofa facing the right",-29.732685089111328,topk,,a small red sofa,-33.51274108886719,topk,,"a small, green sofa with its back facing the viewer",-32.63180923461914,topk,,"a small, blue desk facing to the right",-30.87544250488281,topk,,"a small, blue desk ",-6.912477493286133,topk,,"a small, green desk facing forwards",-8.093462944030762,topk,
11,"a large red sofa, facing right",-31.54994201660156,topk,,a small red sofa,-28.95885467529297,topk,,"a  small, blue sofa  facing to the right",-34.09560012817383,topk,,a green sofa is facing backwards,-30.636615753173828,topk,,"a small, red desk 5",-32.541412353515625,topk,,"a small blue desk, facing to the right",-10.51427936553955,topk,,"a small, green desk facing the wall",-10.561797142028809,topk,
12,a large red sofa facing the right,-28.65156364440918,topk,,"a large, red sofa facing to the right",-30.60542678833008,topk,,a small blue couch facing to the right,-34.183815002441406,topk,,"a small, green sofa with its back facing forward",-31.82766532897949,topk,,"a small, red desk""",-31.075763702392575,topk,,a green desk facing backwards,-10.953947067260742,topk,,a green desk facing backward,-11.060361862182615,topk,
13,"a large, red sofa that is facing to the right",-31.219392776489254,topk,,a small red sofa  facing to the right,-30.61817741394043,topk,,"a small, blue  sofa facing to the right",-33.03566360473633,topk,,"a small, green sofa that faces backwards",-30.731689453125,topk,,a small red desk ,-30.98241806030273,topk,,"a small, blue desk",-4.107789993286133,topk,,a green desk facing backwards,-7.6718058586120605,topk,
