,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a small, blue fan facing to the left",0.9896718,0.11279542,0.41111088,0.014503579,0.025957355,0.047425866,0.014063627
1,"a small, green fan  #2",0.05033063,0.7490872,0.036220055,0.024423093,0.063715,0.019124039,0.01665704
2,"a small, green thing",0.044680875,0.43782353,0.026759282,0.017176704,0.9525741,0.0226292,0.019419348
3,a green fan,0.048136763,0.5926666,0.063715,0.026759284,0.014503577,0.015906392,0.01883313
4,a large blue sofa faces left,0.017442487,0.01168726,0.016152838,0.009125635,0.023689471,0.98884195,0.010328154
5,"a small fan, blue in color, facing left",0.9896718,0.19193278,0.27202454,0.010818452,0.016403032,0.033589505,0.012821214
6,"a small, blue fan facing left",0.9871788,0.122523196,0.34864515,0.0126249455,0.020332351,0.04208773,0.0118691195
7,"a small, green fan faces left",0.044680864,0.98384714,0.028436033,0.0140636265,0.07696083,0.017712297,0.013636837
8,"a large, blue sofa to the left",0.02887091,0.017986208,0.02333077,0.012624948,0.044018652,0.9603612,0.012821216
9,a,0.20689404,0.14414886,0.23370636,0.21469142,0.45326185,0.23934935,0.2254166
10,"a large, red fan",0.015906392,0.013636833,0.02843603,0.9579123,0.007345826,0.013428257,0.039638843
11,"a large, blue sofa faced to the left",0.024423093,0.01262495,0.016403032,0.010328151,0.034100424,0.9850429,0.011158029
12,a large sofa facing backwards,0.013636832,0.0087113865,0.01665704,0.0145035805,0.021615334,0.08389039,0.1732882
13,a large red fan ,0.015189046,0.012821216,0.024798162,0.9511422,0.007345828,0.012821213,0.04146228
14,a large red sofa is facing backwards,0.012053778,0.009859858,0.013222823,0.013428254,0.012431649,0.01243165,0.9861514
15,"a small, green fan ",0.048857775,0.7772998,0.023689467,0.015424554,0.03308598,0.011331751,0.012624948
16,a small sofa facing left,0.024423089,0.014281937,0.024423087,0.012241274,0.9697854,0.049589016,0.016152838
17,"a small, blue fan on the left",0.9755769,0.12765265,0.4804787,0.01798621,0.02716923,0.060086645,0.015189047
18,a small blue fan is in the room,0.73411953,0.08269734,0.23091976,0.01826428,0.015424548,0.028436033,0.016403032
19,"a large fan, blue in color, facing to the left",0.026759284,0.010986943,0.9773708,0.00898543,0.008985428,0.046724956,0.010013568
20,a large blue fan  facing to the left,0.03676947,0.014957082,0.9890131,0.011508149,0.0111580305,0.08035747,0.010818451
21,a blue fan facing to the left,0.90861785,0.06656919,0.98087597,0.013848613,0.018546563,0.103748634,0.013636831
22,a large fan is blue and facing to the left,0.023689467,0.011687259,0.9777138,0.009708475,0.010013569,0.038466197,0.010013572
23,"a small, green couch facing left",0.016914915,0.021615334,0.016403034,0.008711384,0.9857181,0.02517884,0.012053778
24,a small blue fan facing left,0.988842,0.08509904,0.24220563,0.01243165,0.0154245505,0.036220055,0.012821216
25,a small blue fan  (1),0.84182566,0.10087862,0.35577488,0.022629198,0.019419346,0.04885777,0.019419346
26,"a small fan, blue, facing left",0.98934746,0.24508502,0.24220563,0.012241278,0.021287356,0.032100707,0.011687259
27,a red fan ,0.03161877,0.03963884,0.034100424,0.9161096,0.010169658,0.016657041,0.05921025
28,"a blue, small fan facing left",0.9879462,0.1847675,0.20689406,0.012624947,0.021948254,0.044680864,0.011869121
29,a large fan facing to the left,0.023689467,0.016657038,0.5736784,0.034100424,0.016152835,0.03567855,0.012821216
30,"a large, red sofa-facing backwards",0.01826428,0.0145035805,0.018546566,0.02333077,0.016403034,0.017176712,0.98116684
31,"a large, red sofa facing backward",0.015906394,0.012431654,0.018264275,0.017712299,0.013636832,0.015906394,0.98116684
32,"a large,",0.10230471,0.05834584,0.4073334,0.24508502,0.10970576,0.39606816,0.22815649
33,"a large, blue thing",0.058345832,0.022977369,0.62245935,0.01971913,0.01590639,0.7122322,0.01883313
34,"a large, red fan facing backwards",0.018546563,0.016657041,0.030214587,0.9852714,0.011508149,0.014957086,0.07055959
35,"a small, red sofa facing to the left",0.01691491,0.015906392,0.019719131,0.015663648,0.1919328,0.020964239,0.022286182
36,"a large blue fan, facing left",0.03308598,0.015906388,0.9899864,0.01302049,0.01065251,0.072636716,0.01150815
37,a small thing,0.6297746,0.5039062,0.16885695,0.14414884,0.82671183,0.088820286,0.106690586
38,a red sofa,0.013222824,0.01186912,0.014281934,0.009412589,0.01717671,0.016914913,0.7122322
39,a large red sofa facing to the left,0.017176704,0.012821214,0.016914917,0.0111580305,0.020964239,0.023330769,0.018833129
40,a large red fan facing to the right,0.016152836,0.01542455,0.02161533,0.03358951,0.014957083,0.014503582,0.020332351
41,a small blue fan is facing to the left,0.99242276,0.05340333,0.20946969,0.012821216,0.016403032,0.037892427,0.01322282
42,a large blue fan facing to the left,0.049589016,0.017986212,0.9879462,0.014063628,0.0140636265,0.079210326,0.012431651
43,"a  large, blue fan  facing to the left",0.04023794,0.01450358,0.9899864,0.012624948,0.012821214,0.10669059,0.012431652
44,"a small, green fan",0.045352582,0.76065063,0.025178839,0.01883313,0.02716923,0.014063626,0.015906395
45,"a small, green fan, facing to the left",0.031143831,0.9822877,0.028007522,0.013636836,0.18010665,0.019719126,0.01691491
46,a large blue sofa,0.012821214,0.010328151,0.010328151,0.011508149,0.014063627,0.8175745,0.01566365
47,a fan facing to the left,0.6001884,0.54673815,0.8438951,0.09138209,0.052618947,0.032100707,0.01205378
48,"a large, red sofa facing to the left",0.02096424,0.015424553,0.016914912,0.011331755,0.026759284,0.028436035,0.018264275
