,Sequence,o1,o2,o3,o4,o5,o6,o7
0,a small blue chair facing backward,0.017442483,0.015663648,0.9899864,0.015424552,0.012821215,0.5350984,0.017986214
1,a backwards blue chair,0.031143831,0.028007524,0.83761996,0.018833129,0.017442487,0.36658973,0.015424548
2,"a small, blue sofa facing downwards",0.011331753,0.011687256,0.058345847,0.0138486065,0.0130204875,0.43014735,0.014728613
3,"a large, blue chair facing forwards",0.018833132,0.015906394,0.024423087,0.047425874,0.011158031,0.025178839,0.05500529
4,"a small blue sofa facing backwards""",0.008315778,0.008445625,0.060086653,0.0069038374,0.0113317575,0.97482115,0.008847356
5,a large grey facing forwards chair,0.014063628,0.014063625,0.016403034,0.96432143,0.009559398,0.0177123,0.27202454
6,"a small, red sofa facing to the left ",0.018264279,0.06008665,0.011158031,0.010652511,0.99115264,0.010986942,0.0154245505
7,"a large, grey facing forwards sofa",0.01205378,0.01150815,0.014503577,0.03904829,0.013222819,0.01971913,0.966914
8,"a small, blue chair, facing backwards",0.01665704,0.01665704,0.99014014,0.0154245505,0.012431654,0.5621765,0.016152835
9,"a large, grey chair is facing forwards",0.014957083,0.014281932,0.014957089,0.9840936,0.009268015,0.0140636265,0.23934937
10,"a small, red chair facing left",0.038466185,0.9910146,0.013428254,0.014957085,0.53509843,0.013428257,0.017176712
11,a sofa facing backwards,0.01081845,0.009708474,0.017442485,0.014728614,0.05749329,0.4843801,0.028436033
12,"a large, grey, facing forwards chair",0.018264273,0.0154245505,0.017986208,0.97068775,0.010986943,0.016914915,0.19193278
13,"a small, red chair 1",0.6791787,0.83761996,0.03461884,0.03308598,0.18713269,0.023689471,0.030214587
14,"a small, grey sofa facing backwards",0.01016966,0.009412591,0.012821214,0.014503581,0.013428256,0.026759278,0.017712297
15,a red thing,0.61878043,0.6370308,0.025178842,0.038466197,0.5926666,0.019719128,0.025957359
16,"a small, red thing facing backwards",0.11279541,0.13660838,0.020964239,0.0154245505,0.13846178,0.042087734,0.017712303
17,"a small, blue chair  ",0.023689475,0.020332353,0.61138195,0.029312233,0.013636837,0.09947021,0.016152835
18,"a small, red sofa on the left",0.05108273,0.15203223,0.014503582,0.01168726,0.9603611,0.021615332,0.020645931
19,"a small, red chair facing the left",0.03567855,0.99181205,0.014728614,0.015906392,0.4882834,0.014281936,0.019124035
20,"a small, blue chair facing upwards",0.016914913,0.01691491,0.09807933,0.018546563,0.011687254,0.054198734,0.01566365
21,"a small, grey thing facing to the right",0.024798162,0.0226292,0.030675804,0.046033893,0.021948256,0.027585281,0.031143831
22,"a small, red chair, facing to the right",0.99206203,0.031618774,0.010652513,0.014063627,0.024423093,0.01081845,0.015663652
23,a large grey chair is facing forwards,0.013020492,0.012053777,0.013636832,0.9857181,0.008315777,0.012624946,0.23370637
24,"a small, red sofa, facing to the left",0.017442487,0.060086645,0.01048909,0.0095593985,0.991938,0.01186912,0.01495709
25,"a red chair, facing to the right",0.9811669,0.024053555,0.010013572,0.014957088,0.014063627,0.009708475,0.014063623
26,"a large, blue sofa",0.009559399,0.010328151,0.024798159,0.013428257,0.011331752,0.04813677,0.03114383
27,"a large, grey couch facing forwards",0.012053779,0.011687258,0.015663644,0.0321007,0.014728614,0.020964243,0.9648552
28,a grey chair,0.030675804,0.028007519,0.07369627,0.82218915,0.019124033,0.03461884,0.06008664
29,a blue sofa facing to the left,0.009708478,0.010013573,0.01048909,0.010169657,0.011687259,0.033589505,0.016914913
30,a large sofa facing forwards,0.012431649,0.010986941,0.013848612,0.019124037,0.026759282,0.02333077,0.90465057
31,"a small, red sofa facing to the left""",0.014503578,0.039638836,0.01098694,0.008187911,0.9875684,0.010328154,0.010986943
32,a blue sofa is facing backwards,0.0085774865,0.008985427,0.036220055,0.010652511,0.011508151,0.81523246,0.016152836
33,"a small, red chair facing to the left;",0.05184547,0.9923044,0.014957089,0.017442485,0.5,0.014503579,0.02002344
