,Sequence,o1,o2,o3,o4,o5,o6,o7
0,a green couch facing backwards,0.02064593,0.017712299,0.027585289,0.6654106,0.008577483,0.008445626,0.010013569
1,"a small, red desk facing backwards",0.029760096,0.03789243,0.013428256,0.042087723,0.091382094,0.026759278,0.08756384
2,a red desk facing right,0.05184547,0.038466185,0.010986944,0.00831578,0.936285,0.0433658,0.01495709
3,a green sofa,0.016657041,0.015663652,0.03308598,0.1847675,0.0063883197,0.0066928496,0.00757724
4,"a large, green thing",0.023689475,0.016403036,0.024423089,0.03846619,0.022286184,0.026759284,0.08509906
5,"a small, blue desk facing to  the right",0.010652513,0.01065251,0.02675928,0.007815889,0.020332353,0.99014014,0.014063626
6,"a small, red desk face",0.05033063,0.06954174,0.023330769,0.017986208,0.33458945,0.06560484,0.09807932
7,"a small, green sofa facing forwards",0.013636834,0.02096424,0.026759285,0.02635535,0.009125637,0.0087113865,0.009268011
8,a small red sofa  facing to the right,0.12765263,0.9937101,0.020332355,0.010013572,0.0064882697,0.010818446,0.009412589
9,a sofa facing backwards,0.0646535,0.060086653,0.07159121,0.6654106,0.0071214302,0.0063883206,0.0066928496
10,a small green desk,0.00712143,0.0071214265,0.007815889,0.010328154,0.022286184,0.03622006,0.27512974
11,"a small, green sofa with its back to us",0.013636835,0.019124035,0.033085987,0.91490096,0.0074606445,0.007815889,0.010986945
12,"a small, green desk face backwards",0.011687259,0.01205378,0.0140636265,0.17781086,0.021615336,0.031143835,0.9433476
13,"a small, red desk facing right",0.04468087,0.075858176,0.013636835,0.009412592,0.99087435,0.055005286,0.016152838
14,"a small, blue desk-facing to the right",0.0118691195,0.011331753,0.05184546,0.008315778,0.026759282,0.9926542,0.0154245505
15,"a small, green desk facing the opposite direction of other objects",0.017442485,0.015189047,0.020964239,0.05500529,0.033085983,0.08756385,0.6442251
16,"a small, green sofa facing in the opposite direction of the other sofas",0.02064593,0.02976009,0.08632348,0.60393184,0.012053777,0.0104890885,0.01032815
17,"a small, green sofa with its back facing the viewer",0.011158032,0.015663648,0.02716923,0.8418256,0.0075772395,0.007232762,0.012431651
18,"a large, red sofa facing right",0.9918121,0.13296422,0.018264279,0.011687257,0.01016966,0.015424551,0.01150815
19,a red thing,0.5774954,0.47657967,0.022629198,0.018833129,0.51952136,0.038466197,0.05261895
20,"a small, red thing facing backwards",0.052618947,0.1112412,0.024053557,0.20689407,0.100878626,0.025178839,0.068537496
21,a small  red desk facing to the right,0.02368947,0.030214584,0.011331752,0.007577241,0.99115264,0.031143833,0.013636833
22,a large red sofa facing right ,0.99087435,0.056652427,0.010818452,0.008711384,0.007232763,0.010818448,0.008187911
23,a small red desk,0.01640303,0.017442483,0.00941259,0.006488269,0.5156199,0.028870905,0.03258975
24,a small red desk facing to the right,0.029312227,0.037326887,0.0124316495,0.008315779,0.99242276,0.034618836,0.013222822
25,"a large, red sofa is in the room",0.40733337,0.07477004,0.015663644,0.011687256,0.01001357,0.016403036,0.011687256
26,"a small, green sofa with its back facing us",0.011508147,0.016403029,0.025957357,0.86339164,0.008061992,0.008577484,0.012624947
27,"a large, blue sofa",0.017986208,0.012431649,0.07696084,0.0124316495,0.009859854,0.011687257,0.008847356
28,"a small, green desk",0.0072327657,0.007577242,0.008315779,0.009708476,0.024423093,0.0384662,0.21206881
29,"a small, blue sofa facing to the",0.024423093,0.03210071,0.90465057,0.07159119,0.019719128,0.02064593,0.027585285
30,"a  small, blue desk facing to the right",0.011869121,0.009412591,0.021948256,0.008315778,0.016152835,0.9910146,0.014503575
